NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1097,483,53,"(1347233.5000103116, 407418.7500463873)","['S 17TH ST', 'FOX WAY', 'MURIEL ST']"
1097,612,418,"(1347233.5000103116, 407418.7500463873)","['S 17TH ST', 'FOX WAY', 'MURIEL ST']"
1097,1216,112,"(1347233.5000103116, 407418.7500463873)","['S 17TH ST', 'FOX WAY', 'MURIEL ST']"
1098,17,117,"(1339193.8244886398, 407316.01960881054)","['MAPLE TER', 'HALPIN ST']"
1098,386,584,"(1339193.8244886398, 407316.01960881054)","['MAPLE TER', 'HALPIN ST']"
1098,405,179,"(1339193.8244886398, 407316.01960881054)","['MAPLE TER', 'HALPIN ST']"
1099,734,122,"(1345031.7501487285, 405189.4999117255)","['EXCELSIOR ST', 'DRAIN WAY']"
1099,1255,161,"(1345031.7501487285, 405189.4999117255)","['EXCELSIOR ST', 'DRAIN WAY']"
1099,1450,133,"(1345031.7501487285, 405189.4999117255)","['EXCELSIOR ST', 'DRAIN WAY']"
1100,1101,266,"(1344009.2498971373, 401577.74991738796)","['HAWK WAY', 'GRIMES AVE']"
1100,1102,134,"(1344009.2498971373, 401577.74991738796)","['HAWK WAY', 'GRIMES AVE']"
1100,1117,120,"(1344009.2498971373, 401577.74991738796)","['HAWK WAY', 'GRIMES AVE']"
1101,1100,266,"(1344275.2500213087, 401581.9999088943)","['HAWK WAY', 'ROMEYN ST']"
